time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
107,5,3,8,46,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,3,5,8,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1
168,2,2,4,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,2,2,4,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1
16,6,0,6,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,2,7,9,45,0,0,0,0,0,0,0,0,0,1,0,0,0,1
165,1,2,3,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,3,3,6,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1
16,4,4,8,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1
130,3,3,6,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1913,5,6,11,43,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,13,4,17,52,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,1,53,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50,9,0,9,62,0,0,0,0,0,0,0,0,0,1,0,0,0,1
49,6,3,9,65,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,13,4,17,74,0,0,0,0,0,0,0,0,0,1,0,0,0,1
241,8,2,10,80,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40,2,2,4,80,0,0,0,0,0,0,0,0,0,1,0,0,0,1
219,1,1,2,80,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,1,1,2,80,0,0,0,0,0,0,0,0,0,1,0,0,0,1
693,1,0,1,81,0,0,0,0,0,0,0,0,0,1,0,0,0,1
243,21,18,39,84,0,0,0,0,0,0,0,0,0,1,0,0,0,1
17,2,0,2,86,0,0,0,0,0,0,0,0,0,1,0,0,0,1
372,0,1,1,85,0,0,0,0,0,0,0,0,0,1,0,0,0,1
383,2,1,3,86,0,0,0,0,0,0,0,0,0,1,0,0,0,1
261,1,1,2,86,0,0,0,0,0,0,0,0,0,1,0,0,0,1
967,2,0,2,88,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2553,2,2,4,88,0,0,0,0,0,0,0,0,0,1,0,0,0,1
321,1,1,2,88,0,0,0,0,0,0,0,0,0,1,0,0,0,1
21,2,2,4,88,0,0,0,0,0,0,0,0,0,1,0,0,0,1
359,6,7,13,87,0,0,0,0,0,0,0,0,0,1,0,0,0,1
17,1,1,2,87,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,11,10,21,88,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1303,9,17,26,80,0,0,0,0,0,0,0,0,0,1,0,0,0,1
477,13,9,22,84,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1707,1,1,2,84,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,1,1,2,84,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4560,2,2,4,84,0,0,0,0,0,0,0,0,0,1,0,0,0,1
48,2,2,4,84,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1439,1,1,2,84,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2446,1,1,2,84,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7346,1,1,2,84,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8838,1,1,2,84,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1341,0,9,9,75,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,34,0,34,34,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,44,22,66,56,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,8,2,10,62,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,28,25,53,65,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9,2,2,4,65,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,2,1,3,66,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,6,1,7,71,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5,1,3,4,69,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,29,8,37,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,40,35,75,95,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12,1,2,3,94,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,3,4,92,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,1,2,3,91,0,0,0,0,0,0,0,0,0,1,0,0,0,1
52,74,14,88,151,0,0,0,0,0,0,0,0,0,1,0,0,0,1
17,74,81,155,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,69,76,145,137,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,9,7,16,139,0,0,0,0,0,0,0,0,0,1,0,0,0,1
167,30,90,120,79,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40,1,0,1,80,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,0,1,1,79,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,30,27,57,82,0,0,0,0,0,0,0,0,0,1,0,0,0,1
124,1,1,2,82,0,0,0,0,0,0,0,0,0,1,0,0,0,1
23,10,11,21,81,0,0,0,0,0,0,0,0,0,1,0,0,0,1
16,10,10,20,81,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,2,2,4,81,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,15,0,15,96,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1977,23,11,34,108,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5,16,0,16,124,0,0,0,0,0,0,0,0,0,1,0,0,0,1
62,1,1,2,124,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,3,0,3,127,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,9,4,13,132,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,13,3,16,142,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,9,0,9,151,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,6,2,8,155,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20,4,6,10,153,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,2,153,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,8,0,8,161,0,0,0,0,0,0,0,0,0,1,0,0,0,1
26,3,4,7,160,0,0,0,0,0,0,0,0,0,1,0,0,0,1
194,19,4,23,175,0,0,0,0,0,0,0,0,0,1,0,0,0,1
44,5,5,10,175,0,0,0,0,0,0,0,0,0,1,0,0,0,1
23,3,4,7,174,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,2,4,174,0,0,0,0,0,0,0,0,0,1,0,0,0,1
21,1,1,2,174,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,3,3,6,174,0,0,0,0,0,0,0,0,0,1,0,0,0,1
156,6,2,8,178,0,0,0,0,0,0,0,0,0,1,0,0,0,1
715,62,21,83,219,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,10,8,18,221,0,0,0,0,0,0,0,0,0,1,0,0,0,1
22,9,9,18,221,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,18,7,25,232,0,0,0,0,0,0,0,0,0,1,0,0,0,1
49,4,4,8,232,0,0,0,0,0,0,0,0,0,1,0,0,0,1
71,1,1,2,232,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,2,0,2,234,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12,8,9,17,233,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,3,3,6,233,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,4,0,4,237,0,0,0,0,0,0,0,0,0,1,0,0,0,1
45,14,9,23,242,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,7,3,10,246,0,0,0,0,0,0,0,0,0,1,0,0,0,1
68,5,5,10,246,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,72,62,134,256,0,0,0,0,0,0,0,0,0,1,0,0,0,1
17,6,3,9,259,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,3,4,7,258,0,0,0,0,0,0,0,0,0,1,0,0,0,1
148,1,0,1,259,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,2,4,259,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,6,3,9,262,0,0,0,0,0,0,0,0,0,1,0,0,0,1
16,5,4,9,263,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,2,0,2,265,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,2,3,5,264,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,3,3,6,264,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,2,0,2,266,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,7,3,10,270,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18,130,33,163,367,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,4,1,5,370,0,0,0,0,0,0,0,0,0,1,0,0,0,1
19,2,0,2,372,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,2,372,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,2,2,4,372,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,2,2,4,372,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,7,3,10,376,0,0,0,0,0,0,0,0,0,1,0,0,0,1
36,1,1,2,376,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10,4,2,6,378,0,0,0,0,0,0,0,0,0,1,0,0,0,1
48,10,12,22,376,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,2,4,376,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,19,6,25,389,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,8,9,17,388,0,0,0,0,0,0,0,0,0,1,0,0,0,1
183,2,2,4,388,0,0,0,0,0,0,0,0,0,1,0,0,0,1
202,13,15,28,386,0,0,0,0,0,0,0,0,0,1,0,0,0,1
90,12,8,20,390,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,2,0,2,392,0,0,0,0,0,0,0,0,0,1,0,0,0,1
124,15,10,25,397,0,0,1,0,0,0,0,0,0,1,0,0,0,1
44,1,1,2,397,0,0,1,0,0,0,0,0,0,1,0,0,0,1
39,11,11,22,397,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3,4,2,6,399,0,0,1,0,0,0,0,0,0,1,0,0,0,1
925,2,0,2,401,0,0,1,0,0,0,0,0,0,1,0,0,0,1
15,8,10,18,399,0,0,1,0,0,0,0,0,0,1,0,0,0,1
71,26,4,30,421,0,0,1,0,0,0,0,0,0,1,0,0,0,1
216,8,8,16,421,0,0,1,0,0,0,0,0,0,1,0,0,0,1
107,5,5,10,421,0,0,1,0,0,0,0,0,0,1,0,0,0,1
280,1,1,2,421,0,0,1,0,0,0,0,0,0,1,0,0,0,1
23,34,0,34,455,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3,17,1,18,471,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,2,23,25,450,0,0,1,0,0,0,0,0,0,1,0,0,0,1
403,6,1,7,455,0,0,1,0,0,0,0,0,0,1,0,0,0,1
247,40,11,51,484,0,0,1,0,0,0,0,0,1,1,0,0,0,1
570,2,0,2,486,0,0,1,0,0,0,0,0,1,1,0,0,0,1
95,29,2,31,513,0,0,1,0,0,0,0,0,1,1,0,0,0,1
124,28,44,72,497,0,0,1,0,0,0,0,0,0,1,0,0,0,1
70,0,2,2,495,0,0,1,0,0,0,0,0,0,1,0,0,0,1
311,1,2,3,494,0,0,1,0,0,0,0,0,0,1,0,0,0,1
17,5,0,5,499,0,0,1,0,0,0,0,0,0,1,0,0,0,1
26,1,3,4,497,0,0,1,0,0,0,0,0,0,1,0,0,0,1
