time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
43,26,34,60,136,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20,5,14,19,127,0,0,0,0,0,0,0,0,0,1,0,0,0,1
153,0,128,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,15,0,15,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1
57,170,6,176,178,0,0,0,0,0,1,0,0,0,1,0,0,0,1
74,52,41,93,189,0,0,0,0,0,1,0,0,0,1,0,0,0,1
5,48,21,69,216,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,3,0,3,219,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,26,14,40,231,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,2,1,3,232,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,6,4,10,234,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,2,2,4,234,0,0,0,0,0,1,0,0,0,1,0,0,0,1
48,5,6,11,233,0,0,0,0,0,1,0,0,0,1,0,0,0,1
125,23,0,23,256,0,0,0,0,0,1,0,0,0,1,0,0,0,1
18,62,39,101,279,0,0,0,0,0,1,0,0,0,1,0,0,0,1
9,6,5,11,280,0,0,0,0,0,1,0,0,0,1,0,0,0,1
41,82,93,175,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,3,8,271,0,0,0,0,0,1,0,0,0,1,0,0,0,1
16,1,2,3,270,0,0,0,0,0,1,0,0,0,1,0,0,0,1
51,2,1,3,271,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,1,3,4,269,0,0,0,0,0,1,0,0,0,1,0,0,0,1
232,2,3,5,268,0,0,0,0,0,1,0,0,0,1,0,0,0,1
157,115,161,276,222,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,33,0,33,255,0,0,0,0,0,0,0,0,0,1,0,0,0,1
64,8,7,15,256,0,0,0,0,0,0,0,0,0,1,0,0,0,1
30,25,71,96,210,0,0,0,0,0,0,0,0,0,1,0,0,0,1
72,8,7,15,211,0,0,0,0,0,0,0,0,0,1,0,0,0,1
14,2,2,4,211,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,64,54,118,221,0,0,0,0,0,1,0,0,1,1,0,0,0,1
669,7,4,11,224,0,0,0,0,0,1,0,0,1,1,0,0,0,1
84,12,11,23,225,0,0,0,0,0,1,0,0,1,1,0,0,0,1
1614,1,1,2,225,0,0,0,0,0,1,0,0,1,1,0,0,0,1
182,0,226,226,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,113,0,113,112,0,0,0,0,0,0,0,0,0,1,0,0,1,1
86,0,113,113,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,126,0,126,125,0,0,0,0,0,1,0,0,0,0,0,0,1,1
20,1,1,2,125,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,97,86,183,136,0,0,0,0,0,1,0,0,1,0,0,0,0,1
20,91,0,91,227,0,0,0,0,0,1,0,0,1,0,0,0,0,1
105,67,202,269,92,0,0,0,0,0,1,0,0,0,1,0,0,1,1
0,16,12,28,96,0,0,0,0,0,1,0,0,0,1,0,0,0,1
72,30,31,61,95,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,2,95,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,19,26,45,88,0,0,0,0,0,0,0,0,0,1,0,0,0,1
