time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
774,8,8,16,136,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1535,133,102,235,167,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1012,15,0,15,182,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1782,20,0,20,202,0,0,0,0,0,0,0,0,1,1,0,0,0,1
4613,1,1,2,202,0,0,0,0,0,0,0,0,1,1,0,0,0,1
636,14,0,14,216,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2700,5,5,10,216,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1082,1,1,2,216,0,0,0,0,0,0,0,0,1,1,0,0,0,1
9834,5,5,10,216,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,15,0,15,231,0,0,0,0,0,0,0,0,1,1,0,0,0,1
4288,200,150,350,281,0,0,0,0,0,0,0,0,1,1,0,0,0,1
133,2,0,2,283,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,3,1,4,285,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,1,0,1,286,0,0,0,0,0,0,0,0,1,1,0,0,0,1
876,2,8,10,280,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1088,3,2,5,281,0,0,0,0,0,0,0,0,1,1,0,0,0,1
647,29,8,37,302,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1074,1,2,3,301,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1211,60,0,60,361,0,0,0,0,0,0,0,1,1,1,0,0,0,1
90,5,4,9,302,0,0,0,0,0,0,0,0,1,1,0,0,0,1
4124,19,1,20,380,0,0,0,0,0,0,0,1,1,1,0,0,0,1
125,1,1,2,380,0,0,0,0,0,0,0,1,1,1,0,0,0,1
8247,1,1,2,380,0,0,0,0,0,0,0,1,1,1,0,0,0,1
2,5,2,7,383,0,0,0,0,0,0,0,1,1,1,0,0,0,1
3686,68,69,137,382,0,0,0,0,0,0,0,1,1,1,0,0,0,1
0,84,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1259,7,7,14,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,12,12,24,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,3,1,4,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,61,60,121,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11825,1,1,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4655,12,1,13,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808,3,1,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7211,1,1,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871,2,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588,67,62,129,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,5,0,5,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,0,2,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,11,5,16,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,90,91,181,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,3,2,5,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722,0,2,2,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3289,29,0,29,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10500,19,5,24,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,116,117,233,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,2,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,47,0,47,192,0,0,0,0,0,0,0,0,0,1,0,0,0,1
188,29,0,29,235,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,22,7,29,221,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3204,42,41,83,251,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,146,0,146,145,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5113,8,2,10,151,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4868,0,152,152,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,67,0,67,67,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,19,6,25,80,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1110,76,0,76,76,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1186,8,2,10,123,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,4,4,8,123,0,0,0,0,0,0,0,0,0,1,0,0,0,1
675,1,1,2,123,0,0,0,0,0,0,0,0,0,1,0,0,0,1
163,37,1,38,159,0,0,0,0,0,0,0,0,0,1,0,0,0,1
403,6,2,8,163,0,0,0,0,0,0,0,0,0,1,0,0,0,1
595,72,81,153,154,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7868,3,2,5,155,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,2,155,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5176,3,3,6,155,0,0,0,0,0,0,0,0,0,1,0,0,1,1
284,8,0,8,163,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2174,2,4,6,161,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2964,17,12,29,166,0,0,0,0,0,0,0,0,1,1,0,0,0,1
